URL,excerpt
https://github.com/GoogleChrome/puppeteer,"Puppeteer is a Node library which provides a high-level API to control Chrome or Chromium over the DevTools Protocol. Puppeteer runs headless by default, but can be configured to run full (non-headless) Chrome or Chromium."
https://github.com/JimmySuen/integral-human-pose,"The major contributors of this repository include Xiao Sun, Chuankang Li, Bin Xiao, Fangyin Wei, Yichen Wei."
https://github.com/JimmySuen/integral-human-pose,Integral Regression is initially described in an ECCV 2018 paper. (Slides).
https://github.com/JimmySuen/integral-human-pose,"We build a 3D pose estimation system based mainly on the Integral Regression, placing second in the ECCV2018 3D Human Pose Estimation Challenge. Note that, the winner Sarandi et al. also uses the Integral Regression (or soft-argmax) with a better augmented 3D dataset in their method indicating the Integral Regression is the currently state-of-the-art 3D human pose estimation method."
https://github.com/JimmySuen/integral-human-pose,The Integral Regression is also known as soft-argmax. Please refer to two contemporary works (Luvizon et al. and Nibali et al.) for a better comparision and more comprehensive understanding.
https://github.com/JimmySuen/integral-human-pose,This is an official implementation for Integral Human Pose Regression based on Pytorch. It is worth noticing that:
https://github.com/JimmySuen/integral-human-pose,The original implementation is based on our internal Mxnet version. There are slight differences in the final accuracy and running time due to the plenty details in platform switch.
https://github.com/JuliaGeo/LibGEOS.jl,"LibGEOS is a LGPL-licensed package for manipulation and analysis of planar geometric objects, based on the libraries GEOS (the engine of PostGIS) and JTS (from which GEOS is ported)."
https://github.com/JuliaGeo/LibGEOS.jl,"Among other things, it allows you to parse Well-known Text (WKT)"
https://github.com/LMescheder/GAN_stability,This repository contains the experiments in the supplementary material for the paper Which Training Methods for GANs do actually Converge?.
https://github.com/LMescheder/GAN_stability,"For the results presented in the paper, we did not use a moving average over the weights. However, using a moving average helps to reduce noise and we therefore recommend its usage. Indeed, we found that using a moving average leads to much better inception scores on Imagenet."
https://github.com/LMescheder/GAN_stability,"Batch normalization is currently not supported when using an exponential running average, as the running average is only computed over the parameters of the models and not the other buffers of the model."
https://github.com/NSGeophysics/GPRPy,Open-source Ground Penetrating Radar processing and visualization software.
https://github.com/NVIDIA/vid2vid,"Pytorch implementation for high-resolution (e.g., 2048x1024) photorealistic video-to-video translation. It can be used for turning semantic label maps into photo-realistic videos, synthesizing people talking from edge maps, or generating human motions from poses. The core of video-to-video translation is image-to-image translation. Some of our work in that space can be found in pix2pixHD and SPADE. "
https://github.com/OpenGeoVis/PVGeo,The PVGeo Python package contains VTK powered tools for data visualization in geophysics which are wrapped for direct use within the application ParaView by Kitware or in a Python environment with PyVista. These tools are tailored to data visualization in the geosciences with a heavy focus on structured data sets like 2D or 3D time-varying grids.
https://github.com/OpenGeoVis/omfvista,A PyVista (and VTK) interface for the Open Mining Format package (omf) providing Python 3D visualization and useable mesh data structures for processing datasets in the OMF specification.
https://github.com/OpenGeoscience/geonotebook/,"GeoNotebook is an application that provides client/server environment with interactive visualization and analysis capabilities using Jupyter, GeoJS and other open source tools. Jointly developed by Kitware and NASA Ames."
https://github.com/Toblerity/Fiona/,Fiona is OGR's neat and nimble API for Python programmers.
https://github.com/Toblerity/Fiona/,"Fiona is designed to be simple and dependable. It focuses on reading and writing data in standard Python IO style and relies upon familiar Python types and protocols such as files, dictionaries, mappings, and iterators instead of classes specific to OGR. Fiona can read and write real-world data using multi-layered GIS formats and zipped virtual file systems and integrates readily with other Python GIS packages such as pyproj, Rtree, and Shapely. Fiona is supported only on CPython versions 2.7 and 3.4+."
https://github.com/Toblerity/Shapely,"Shapely is a BSD-licensed Python package for manipulation and analysis of planar geometric objects. It is based on the widely deployed GEOS (the engine of PostGIS) and JTS (from which GEOS is ported) libraries. Shapely is not concerned with data formats or coordinate systems, but can be readily integrated with packages that are."
https://github.com/XiaLiPKU/RESCAN,"Rain streaks can severely degrade the visibility, which causes many current computer vision algorithms fail to work. So it is necessary to remove the rain from images. We propose a novel deep network architecture based on deep convolutional and recurrent neural networks for single image deraining. As contextual information is very important for rain removal, we first adopt the dilated convolutional neural network to acquire large receptive field. To better fit the rain removal task, we also modify the network. In heavy rain, rain streaks have various directions and shapes, which can be regarded as the accumulation of multiple rain streak layers. We assign different alpha-values to various rain streak layers according to the intensity and transparency by incorporating the squeeze-and-excitation block. Since rain streak layers overlap with each other, it is not easy to remove the rain in one stage. So we further decompose the rain removal into multiple stages. Recurrent neural network is incorporated to preserve the useful information in previous stages and benefit the rain removal in later stages. We conduct extensive experiments on both synthetic and real-world datasets. Our proposed method outperforms the state-of-the-art approaches under all evaluation metrics."
https://github.com/ZhouYanzhao/PRM,The pytorch branch contains:
https://github.com/ZhouYanzhao/PRM,the pytorch implementation of Peak Response Mapping (Stimulation and Backprop).
https://github.com/ZhouYanzhao/PRM,"the PASCAL-VOC demo (training, inference, and visualization)."
https://github.com/agile-geoscience/striplog/,Lithology and stratigraphic logs for wells and outcrop.
https://github.com/akaszynski/pyansys,This Python module allows you to:
https://github.com/akaszynski/pyansys,"Interactively control an instance of ANSYS v14.5 + using Python on Linux, >=17.0 on Windows."
https://github.com/akaszynski/pyansys,Extract data directly from binary ANSYS v14.5+ files and to display or animate them.
https://github.com/akaszynski/pyansys,"Rapidly read in binary result (.rst), binary mass and stiffness (.full), and ASCII block archive (.cdb) files."
https://github.com/albertpumarola/GANimation,"Official implementation of GANimation. In this work we introduce a novel GAN conditioning scheme based on Action Units (AU) annotations, which describe in a continuous manifold the anatomical facial movements defining a human expression. Our approach permits controlling the magnitude of activation of each AU and combine several of them. For more information please refer to the paper."
https://github.com/albertpumarola/GANimation,This code was made public to share our research for the benefit of the scientific community. Do NOT use it for immoral purposes.
https://github.com/cgre-aachen/gempy,What is it
https://github.com/cgre-aachen/gempy,"GemPy is a Python-based, open-source library for implicitly generating 3D structural geological models. It is capable of constructing complex 3D geological models of folded structures, fault networks and unconformities. It was designed from the ground up to support easy embedding in probabilistic frameworks for the uncertainty analysis of subsurface structures."
https://github.com/cgre-aachen/gempy,Features
https://github.com/cgre-aachen/gempy,The core algorithm of GemPy is based on a universal cokriging interpolation method devised by Lajaunie et al. (1997) and extended by Calcagno et al. (2008). Its implicit nature allows the user to automatically generate complex 3D structural geological models through the interpolation of input data:
https://github.com/cgre-aachen/gempy,"Surface contact points: 3D coordinates of points marking the boundaries between different features (e.g. layer interfaces, fault planes, unconformities)."
https://github.com/cgre-aachen/gempy,Orientation measurements: Orientation of the poles perpendicular to the dipping of surfaces at any point in the 3D space.
https://github.com/cgre-aachen/gempy,GemPy also allows for the definition of topological elements such as combining multiple stratigraphic sequences and complex fault networks to be considered in the modeling process.
https://github.com/cgre-aachen/gempy,"GemPy itself offers direct visualization of 2D model sections via matplotlib and in full, interactive 3D using the Visualization Toolkit (VTK). The VTK support also allow to the real time maniulation of the 3-D model, allowing for the exact modification of data. Models can also easily be exportes in VTK file format for further visualization and processing in other software such as ParaView."
https://github.com/cgre-aachen/gempy,"GemPy was designed from the beginning to support stochastic geological modeling for uncertainty analysis (e.g. Monte Carlo simulations, Bayesian inference). This was achieved by writing GemPy's core architecture using the numerical computation library Theano to couple it with the probabilistic programming framework PyMC3. This enables the use of advanced sampling methods (e.g. Hamiltonian Monte Carlo) and is of particular relevance when considering uncertainties in the model input data and making use of additional secondary information in a Bayesian inference framework."
https://github.com/cgre-aachen/gempy,"We can, for example, include uncertainties with respect to the z-position of layer boundaries in the model space. Simple Monte Carlo simulation via PyMC will then result in different model realizations:"
https://github.com/cgre-aachen/gempy,"Theano allows the automated computation of gradients opening the door to the use of advanced gradient-based sampling methods coupling GeMpy and PyMC3 for advanced stochastic modeling. Also, the use of Theano allows making use of GPUs through cuda (see the Theano documentation for more information."
https://github.com/cgre-aachen/gempy,Making use of vtk interactivity and Qgrid (https://github.com/quantopian/qgrid) GemPy provides a functional interface to interact with input data and models.
https://github.com/cgre-aachen/gempy,Sandbox
https://github.com/cgre-aachen/gempy,"New developments in the field of augmented reality, i.e. the superimposition of real and digital objects, offer interesting and diverse possibilities that have hardly been exploited to date. The aim of the project is therefore the development and realization of an augmented reality sandbox for interaction with geoscientific data and models. In this project, methods are to be developed to project geoscientific data (such as the outcrop of a geological layer surface or geophysical measurement data) onto real surfaces."
https://github.com/cgre-aachen/gempy,"The AR Sandbox is based on a container filled with sand, the surface of which can be shaped as required. The topography of the sand surface is continuously scanned by a 3D sensor and a camera. In the computer the scanned surface is now blended with a digital geological 3D model (or other data) in real time and an image is calculated, which is projected onto the sand surface by means of a beamer. This results in an interactive model with which the user can interact in an intuitive way and which visualizes and comprehend complex three-dimensional facts in an accessible way."
https://github.com/cgre-aachen/gempy,"In addition to applications in teaching and research, this development offers great potential as an interactive exhibit with high outreach for the geosciences thanks to its intuitive operation. The finished sandbox can be used in numerous lectures and public events , but is mainly used as an interface to GemPy software and for rapid prototyping of implicit geological models."
https://github.com/cgre-aachen/gempy,Remote Geomod: From GoogleEarth to 3-D Geology
https://github.com/cgre-aachen/gempy,"We support this effort here with a full 3-D geomodeling exercise on the basis of the excellent possibilities offered by open global data sets, implemented in GoogleEarth, and dedicated geoscientific open-source software and motivate the use of 3-D geomodeling to address specific geological questions. Initial steps include the selection of relevant geological surfaces in GoogleEarth and the analysis of determined orientation values for a selected region This information is subsequently used to construct a full 3-D geological model with a state-of-the-art interpolation algorithm. Fi- nally, the generated model is intersected with a digital elevation model to obtain a geological map, which can then be reimported into GoogleEarth."
https://github.com/cgre-aachen/gempy,New in GemPy 2.0: Docker image
https://github.com/cgre-aachen/gempy,Finally e also provide precompiled Docker images hosted on Docker Hub with all necessary dependencies to get GemPy up and running (except vtk).
https://github.com/cgre-aachen/gempy,"ocker is an operating-system-level-visualization software, meaning that we can package a tiny operating system with pre-installed software into a Docker image. This Docker image can then be shared with and run by others, enabling them to use intricate dependencies with just a few commands. For this to work the user needs to have a working Docker installation."
https://github.com/d3/d3,"D3 (or D3.js) is a JavaScript library for visualizing data using web standards. D3 helps you bring data to life using SVG, Canvas and HTML. D3 combines powerful visualization and interaction techniques with a data-driven approach to DOM manipulation, giving you the full capabilities of modern browsers and the freedom to design the right visual interface for your data."
https://github.com/driftingtides/hyvr,Introduction
https://github.com/driftingtides/hyvr,HyVR: Turning your geofantasy into reality!
https://github.com/driftingtides/hyvr,"The Hydrogeological Virtual Reality simulation package (HyVR) is a Python module that helps researchers and practitioners generate subsurface models with multiple scales of heterogeneity that are based on geological concepts. The simulation outputs can then be used to explore groundwater flow and solute transport behaviour. This is facilitated by HyVR outputs in common flow simulation packages' input formats. As each site is unique, HyVR has been designed that users can take the code and extend it to suit their particular simulation needs."
https://github.com/driftingtides/hyvr,"The original motivation for HyVR was the lack of tools for modelling sedimentary deposits that include bedding structure model outputs (i.e., dip and azimuth). Such bedding parameters were required to approximate full hydraulic-conductivity tensors for groundwater flow modelling. HyVR is able to simulate these bedding parameters and generate spatially distributed parameter fields, including full hydraulic-conductivity tensors. More information about HyVR is available in the online technical documentation."
https://github.com/driftingtides/hyvr,I hope you enjoy using HyVR much more than I enjoyed putting it together! I look forward to seeing what kind of funky fields you created in the course of your work.
https://github.com/driving-behavior/DBNet,Introduction
